Scenario;Level;Indicator;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Coexistence scenario;Livestock farm;Energy yield (MjKgDM/ha);144.658732955568;202.507787740686;192.569406974517;229.427451614253;160.712687429783;178.613359639819;250.263135785224;207.174412389139;142.964808058884;238.423462355811;181.9053867287;156.553110802168;167.532047930469
Coexistence scenario;Territory;Energy yield (MjKgDM/ha);134.162765008127;149.124064440329;167.775177996504;158.050792686508;146.976523448787;136.985603614634;181.716048332411;146.450705259319;143.048002285843;165.961184042264;153.461617723911;139.206103749224;151.517452922777
Coexistence scenario;AF1;Gross margin(€/ha);756.841228512758;676.671424464267;1356.98827294807;1287.93725620684;901.964662796909;842.559055654845;1508.73268293735;1149.91061882175;1499.03828667344;1180.91528352776;1193.04159689523;1220.90373308446;1299.53374859874
Coexistence scenario;AF2;Gross margin(€/ha);740.502076672885;847.305627755245;1196.16735104435;1219.11716455516;703.550947989501;1103.76401531768;1375.90754882965;672.428852456154;905.937795530532;1456.84897009157;1216.24883007288;1388.74882002384;1121.08005199441
Coexistence scenario;AF3;Gross margin(€/ha);995.440516579169;758.561837711108;2025.36204101182;3096.05981865521;1128.68078597388;1063.65324669243;2052.68921941875;3506.16589935834;1848.04450724647;1395.86151319916;1616.42777051751;2362.58938839519;1828.33283290643
Coexistence scenario;AF4;Gross margin(€/ha);458.831722328569;692.722651179908;1233.4051655141;1464.47700304281;622.086657694701;853.813360404467;1439.08219968711;1294.59168326601;955.663951604815;1377.33873368146;1026.37362086259;1015.22721087391;1040.43037997235
Coexistence scenario;AF5;Gross margin(€/ha);643.143988591535;1154.37800356175;2102.04932694963;1579.65465780977;943.402970732446;809.378360270562;2834.03190686096;1570.95841759433;1220.93218806761;2809.04903543977;1746.83755420981;1259.84111364181;2017.40725430748
Coexistence scenario;Arable farm;Gross margin(€/ha);718.951906536983;825.927908934455;1582.79443149359;1729.44918005396;859.937205037486;934.633607667997;1842.08871154676;1638.81109429931;1285.92334582457;1644.00270718795;1359.7858745116;1449.46205320384;1461.35685355588
Coexistence scenario;LF1;Gross margin(€/ha);3305.60973033878;3736.53374089147;2699.47996841846;3882.37252122231;2195.6927625448;3289.58805531419;3245.16776732118;2767.85078674869;3025.24177240815;4218.64826110313;2722.9698607866;3086.57113926996;2945.92736769043
Coexistence scenario;LF2;Gross margin(€/ha);3067.60329343768;3417.7629355086;3615.66420464227;4685.43949927798;3068.38828203423;3712.23429409301;3992.0840797209;4244.13446861595;3729.53031678534;4973.6415098264;3571.58095979825;3552.84451506715;3996.72077975078
